name,artists,year
Girlfriend,['Matthew Sweet'],1991
Poundcake,['Van Halen'],1991
Rica y Apretadita (feat. Anayka),"['El General', 'Anayka']",1991
Sometimes I Rhyme Slow,['Nice & Smooth'],1991
Hellraiser,['Ozzy Osbourne'],1991
"Gaston - From ""Beauty and the Beast"" / Soundtrack Version","['Richard White', 'Jesse Corti', 'Chorus - Beauty And the Beast']",1991
Life Is A Highway,['Tom Cochrane'],1991
Weather With You,['Crowded House'],1991
Release,['Pearl Jam'],1991
"It's A Man's, Man's, Man's World",['James Brown'],1991
Stardust,['Nat King Cole'],1991
I'll Never Let You Go,['STEELHEART'],1991
Come & Talk To Me,['Jodeci'],1991
Bring The Noise,['Anthrax'],1991
Stars,['Simply Red'],1991
Ain't No Future In Yo' Frontin',"['MC Breed', 'DFC']",1991
"Love, Me",['Collin Raye'],1991
Optimistic,['Sounds Of Blackness'],1991
Once,['Pearl Jam'],1991
Is There Life Out There,['Reba McEntire'],1991
I Wanna Be the One,['Stevie B'],1991
Papa's Got A Brand New Bag,['James Brown'],1991
I Got You Babe,['Sonny & Cher'],1991
American Music,['Violent Femmes'],1991
Top of the World,['Van Halen'],1991
Wasted Days and Wasted Nights,['Freddy Fender'],1991
Insatiable,['Prince'],1991
Get Up (I Feel Like Being A) Sex Machine,['James Brown'],1991
My Friend Of Misery,['Metallica'],1991
Estranged,"[""Guns N' Roses""]",1991
Me Sacaron Del Tenampa,['Cornelio Reyna'],1991
Without You,['Air Supply'],1991
The God That Failed,['Metallica'],1991
Rhythm Is A Dancer - 12'' Version,['SNAP!'],1991
Who Wants To Live Forever - Remastered 2011,['Queen'],1991
Mary Lee,['Los Traileros Del Norte'],1991
Book of Days,['Enya'],1991
Jingle Bell Rock,['Bobby Helms'],1992
It Was A Good Day,['Ice Cube'],1992
Killing In The Name,['Rage Against The Machine'],1992
No Rain,['Blind Melon'],1992
What's Up?,['4 Non Blondes'],1992
Chattahoochee,['Alan Jackson'],1992
Rooster,['Alice In Chains'],1992
Walk,['Pantera'],1992
Friday I'm in Love,['The Cure'],1992
"Nuthin' But A ""G"" Thang","['Dr. Dre', 'Snoop Dogg']",1992
Would?,['Alice In Chains'],1992
I Will Always Love You,['Whitney Houston'],1992
Harvest Moon,['Neil Young'],1992
Alma Enamorada,"['Chalino Sanchez', 'Los Amables Del Norte']",1992
Baby Got Back,['Sir Mix-A-Lot'],1992
Passin' Me By,['The Pharcyde'],1992
Weak,['SWV'],1992
I Have Nothing,['Whitney Houston'],1992
Thunder Kiss '65,['White Zombie'],1992
Symphony Of Destruction,['Megadeth'],1992
Real Love,['Mary J. Blige'],1992
Them Bones,['Alice In Chains'],1992
Nieves De Enero,"['Chalino Sanchez', 'Los Amables Del Norte']",1992
Oye Mi Amor,['Maná'],1992
Runaway Train,['Soul Asylum'],1992
L-O-V-E,['Nat King Cole'],1992
Plush - 2017 Remaster,['Stone Temple Pilots'],1992
Hermanos Mata,"['Chalino Sanchez', 'Los Amables Del Norte']",1992
Walking on Broken Glass,['Annie Lennox'],1992
